Total Area,Precursor Ion Formula,Replicate Name,Sample Name,Precursor Mz,sample name,
2119729,C41H74N14O13[M+2H],22_Lumos_TA_IN_150_S1AD2,,486.285265,AE2,H3K9me3K14Ac
20521462,C41H74N14O13[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,486.285265,HET1,H3K9me3K14Ac
44281908,C41H74N14O13[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,486.285265,HET2,H3K9me3K14Ac
1146969472,C41H72N14O14[M+2H],18_Lumos_TA_IN_150_S1AD,,493.274898,AE1,H3K9AcK14Ac
1517602048,C41H72N14O14[M+2H],20_Lumos_TA_IN_150_S1AD2,,493.274898,AM1,H3K9AcK14Ac
1127170560,C41H72N14O14[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,493.274898,AM2,H3K9AcK14Ac
1189183360,C41H72N14O14[M+2H],22_Lumos_TA_IN_150_S1AD2,,493.274898,AE2,H3K9AcK14Ac
146319088,C41H72N14O14[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,493.274898,HET1,H3K9AcK14Ac
334585152,C41H72N14O14[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,493.274898,HET2,H3K9AcK14Ac
10811811,C42H76N14O13[M+2H],18_Lumos_TA_IN_150_S1AD,,493.29309,AE1,H3K9me3K14aC
12279874,C42H76N14O13[M+2H],20_Lumos_TA_IN_150_S1AD2,,493.29309,AM1,H3K9me3K14aC
12345608,C42H76N14O13[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,493.29309,AM2,H3K9me3K14aC
4346088,C42H76N14O13[M+2H],22_Lumos_TA_IN_150_S1AD2,,493.29309,AE2,H3K9me3K14aC
59458620,C42H76N14O13[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,493.29309,HET1,H3K9me3K14aC
157992816,C42H76N14O13[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,493.29309,HET2,H3K9me3K14aC
18978332,C42H75N14O17P[M+2H],18_Lumos_TA_IN_150_S1AD,,540.265888,AE1,H3K9unmodS10phK14Ac
21597480,C42H75N14O17P[M+2H],20_Lumos_TA_IN_150_S1AD2,,540.265888,AM1,H3K9unmodS10phK14Ac
23147618,C42H75N14O17P[M+2H],21_Lumos_TA_IN_150_S1AD2_170410032047,,540.265888,AM2,H3K9unmodS10phK14Ac
21845176,C42H75N14O17P[M+2H],22_Lumos_TA_IN_150_S1AD2,,540.265888,AE2,H3K9unmodS10phK14Ac
2443729,C42H75N14O17P[M+2H],E160318_24_Lumos_CS_160_Tania_histones_het1_160320234629,,540.265888,HET1,H3K9unmodS10phK14Ac
5638455,C42H75N14O17P[M+2H],E160318_26_Lumos_CS_160_Tania_histones_het2_160321034548,,540.265888,HET2,H3K9unmodS10phK14Ac
